NOx_EO,AIR Flow,Fuel flow,Gexh ,T4,N,MD,Power,Air to Fuel RATIO,Velocity,diff_pressure,LABEL
207.48,122.71,1.76,124.47,270.83,1180.5,22.97,3.09,69.63,34,1.3,0
201.03,113.23,2.56,115.79,275.19,1346.4,122.18,17.73,44.3,87,2.3,0
218.18,115.46,3.28,118.74,280.47,1403,114.63,17.11,35.2,65,0.48,1
475.92,112.13,3.79,115.92,282.37,1368.2,149.42,20.06,29.55,35,1.3,0
797.58,100.34,3.95,104.29,277.87,1179.6,147.43,16.48,25.38,33,2.5,0
340.79,106.97,3.4,110.37,272.86,1020,43.02,4.5,31.44,31,1,0
194.2,109.42,2.36,111.78,268.43,1000.9,29.17,3.07,46.41,67,2.3,0
174.19,110.26,1.67,111.93,263.79,1009.5,27.6,2.92,66.1,45,3.2,0
236.48,109.9,1.45,111.35,258.96,1011.2,26.28,2.78,75.54,64,2.3,0
272.08,109.97,1.37,111.34,254.74,1011.6,26.48,2.81,80.45,35,0.56,1
286.21,109.83,1.31,111.14,250.74,1011.8,26.2,2.78,83.76,8,2.5,0
242.64,109.83,1.29,111.12,246.72,1011.8,24.68,2.61,84.94,7,1,0
221.76,109.79,1.28,111.07,243.14,1011.8,23.2,2.46,85.47,7,2.3,0
219.53,109.64,1.27,110.91,239.71,1012,22.57,2.39,86.48,7,3.2,0
218.75,109.51,1.22,110.73,236.46,1014.1,23.26,2.47,89.54,132,0.78,0
209.3,111.45,1.21,112.66,233.75,1039.6,-8.68,0,92.01,0,1.43,0
199.61,121.27,1.33,122.6,234.14,1142.7,21.49,2.72,91.46,56,2.56,0
198.78,130.69,1.8,132.49,238.66,1333.9,2.86,0.45,72.77,34,2.56,0
197.47,133.41,2.83,136.24,251.01,1543,166.62,26.56,47.09,12,1.43,0
280.88,122.91,3.85,126.76,253.2,1468.8,144.11,21.2,31.96,69,2.56,0
654.4,108.98,4.38,113.36,253.44,1369.1,97.11,13.69,24.91,61,0.89,1
